date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:38	227/227	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:31%20GMT	http://www.phon.ox.ac.uk/~jcoleman/ttgga.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/ttgga.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:39	9198/9198	---M--	200	added ('OK')	audio/x-wav	etag:%22122ca5-23ee-37b79088f4bc0%22	http://www.phon.ox.ac.uk/jcoleman/t_t_as.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/t_t_as.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:39	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:31%20GMT	http://www.phon.ox.ac.uk/~jcoleman/asakws.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/asakws.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:40	12104/12104	---M--	200	added ('OK')	audio/x-wav	etag:%22122cd6-2f48-37b790dec9640%22	http://www.phon.ox.ac.uk/jcoleman/ttggwa.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/ttggwa.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:40	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:32%20GMT	http://www.phon.ox.ac.uk/~jcoleman/isukas.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/isukas.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:40	12638/12638	---M--	200	added ('OK')	audio/x-wav	etag:%22122cd5-315e-37b790d634200%22	http://www.phon.ox.ac.uk/jcoleman/ttgga.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/ttgga.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:41	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:33%20GMT	http://www.phon.ox.ac.uk/~jcoleman/afr_ux.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/afr_ux.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:41	14886/14886	---M--	200	added ('OK')	audio/x-wav	etag:%22122a87-3a26-37b78f7ee1800%22	http://www.phon.ox.ac.uk/jcoleman/asakws.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/asakws.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:41	229/229	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:34%20GMT	http://www.phon.ox.ac.uk/~jcoleman/tafruxt.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/tafruxt.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:42	10596/10596	---M--	200	added ('OK')	audio/x-wav	etag:%22122a73-2964-37b78f6cc2d40%22	http://www.phon.ox.ac.uk/jcoleman/afr_ux.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/afr_ux.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:42	16200/16200	---M--	200	added ('OK')	audio/x-wav	etag:%22122b44-3f48-37b78ff246840%22	http://www.phon.ox.ac.uk/jcoleman/isukas.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/isukas.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:43	232/232	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:35%20GMT	http://www.phon.ox.ac.uk/~jcoleman/aywr_r_af1.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/aywr_r_af1.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:43	229/229	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:36%20GMT	http://www.phon.ox.ac.uk/~jcoleman/aywr_mi.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/aywr_mi.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:43	13918/13918	---M--	200	added ('OK')	audio/x-wav	etag:%22122ca7-365e-37b790992b200%22	http://www.phon.ox.ac.uk/jcoleman/tafruxt.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/tafruxt.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:43	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:36%20GMT	http://www.phon.ox.ac.uk/~jcoleman/aggwrn.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/aggwrn.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:44	10822/10822	---M--	200	added ('OK')	audio/x-wav	etag:%22122a8e-2a46-37b78f9f4e480%22	http://www.phon.ox.ac.uk/jcoleman/aywr_r_af1.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/aywr_r_af1.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:45	230/230	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:37%20GMT	http://www.phon.ox.ac.uk/~jcoleman/aqwr_nif.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/aqwr_nif.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:45	9948/9948	---M--	200	added ('OK')	audio/x-wav	etag:%22122a8d-26dc-37b78f96b9040%22	http://www.phon.ox.ac.uk/jcoleman/aywr_mi.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/aywr_mi.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:45	10666/10666	---M--	200	added ('OK')	audio/x-wav	etag:%22122a76-29aa-37b8a5e9a3640%22	http://www.phon.ox.ac.uk/jcoleman/aggwrn.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/aggwrn.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:45	226/226	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:38%20GMT	http://www.phon.ox.ac.uk/~jcoleman/kd_u.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/kd_u.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
